danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,labels
0.663,0.634,9,-9.461,1,0.0287,0.379,0.548,0.333,0.687,139.967,258587,4,1
0.502,0.357,9,-10.525,1,0.032,0.885,0.112,0.0784,0.279,83.355,231605,3,1
0.823,0.7,8,-4.161,1,0.0446,0.203,0.000475,0.126,0.794,122.99,132677,4,1
0.661,0.464,2,-8.455,1,0.134,0.597,4.32e-06,0.209,0.433,137.917,202107,4,1
0.296,0.145,3,-16.75,1,0.0598,0.975,0.861,0.234,0.239,155.121,94000,4,1
0.682,0.486,8,-6.398,0,0.0998,0.642,0.0,0.231,0.934,163.888,220831,4,1
0.539,0.795,9,-4.774,1,0.0354,0.559,6.42e-06,0.429,0.317,138.064,177611,4,1
0.614,0.575,5,-7.369,0,0.0494,0.633,1.72e-05,0.2,0.259,91.037,305457,4,1
0.778,0.807,0,-7.256,1,0.0378,0.125,4.83e-06,0.13,0.635,116.011,204818,4,1
0.778,0.597,8,-6.494,1,0.0734,0.192,0.000139,0.253,0.63,93.05,137096,4,1
0.572,0.404,9,-8.306,1,0.0286,0.486,0.0,0.293,0.469,74.983,191725,4,1
0.63,0.565,10,-7.257,1,0.163,0.21,1.31e-05,0.167,0.226,163.816,176237,4,1
0.669,0.674,5,-7.211,1,0.0603,0.0591,2.49e-06,0.107,0.108,118.014,219787,4,1
0.745,0.598,2,-6.941,1,0.0399,0.311,0.0,0.0817,0.683,104.022,189822,4,1
0.592,0.3,11,-12.728,0,0.035,0.773,2.36e-06,0.0803,0.652,84.974,193546,4,1
0.694,0.782,6,-7.668,0,0.0372,0.153,0.000174,0.24,0.94,119.038,246614,4,1
0.648,0.454,6,-10.869,1,0.0274,0.469,0.149,0.115,0.533,122.0,201921,4,1
0.748,0.571,0,-6.518,1,0.127,0.702,3.78e-05,0.248,0.687,145.032,169400,4,1
0.359,0.484,4,-7.405,1,0.137,0.775,1.08e-05,0.096,0.271,173.723,230049,3,1
0.574,0.361,4,-10.548,1,0.0274,0.844,0.798,0.0974,0.533,127.018,230760,4,1
0.677,0.511,4,-8.314,1,0.0335,0.806,5.28e-05,0.0887,0.292,140.043,199422,4,1
0.698,0.632,4,-6.684,1,0.0247,0.231,0.108,0.0908,0.532,112.026,188013,4,1
0.388,0.492,5,-6.238,1,0.0322,0.824,7.85e-05,0.102,0.468,180.045,191925,4,1
0.646,0.657,9,-5.172,1,0.0346,0.209,0.000154,0.0795,0.373,114.959,212870,4,1
0.813,0.594,2,-7.58,1,0.0408,0.329,0.0365,0.601,0.915,114.003,243357,4,1
0.725,0.442,8,-10.738,0,0.0491,0.153,8.44e-06,0.0916,0.861,85.024,243245,4,1
0.444,0.442,10,-10.603,1,0.198,0.675,0.00185,0.136,0.0708,183.99,173801,4,1
0.651,0.692,5,-5.054,1,0.0406,0.0622,6.84e-05,0.0966,0.602,89.055,151011,4,1
0.53,0.564,8,-7.025,1,0.0243,0.602,1.18e-06,0.0926,0.145,82.482,205067,4,1
