danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.625,0.637,7,-6.301,1,0.0301,0.181,8.32e-06,0.358,0.449,105.03,196400,4
0.62,0.507,1,-5.891,1,0.0307,0.111,0.0,0.101,0.266,120.065,239347,4
0.509,0.823,5,-5.392,0,0.0332,0.0534,0.0,0.116,0.613,148.188,169614,4
0.559,0.719,0,-7.022,1,0.0337,0.0125,0.0,0.093,0.451,80.03,224696,4
0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,227196,4
0.537,0.873,1,-4.516,1,0.0521,0.0299,0.0,0.0768,0.51,130.007,179051,4
0.597,0.573,3,-4.523,1,0.0288,0.553,0.0,0.127,0.309,125.043,156813,4
0.538,0.672,8,-4.061,1,0.0339,0.011,0.0,0.224,0.515,123.925,211992,3
0.798,0.606,2,-6.28,1,0.0338,0.181,0.0,0.391,0.895,120.063,165000,4
0.662,0.55,0,-5.816,1,0.0366,0.00354,8.95e-06,0.406,0.308,136.184,141368,4
0.545,0.892,2,-3.381,1,0.0558,0.000318,0.0,0.209,0.671,120.41,198325,4
0.62,0.679,10,-7.116,0,0.108,0.0375,0.000625,0.0691,0.481,173.912,200010,4
0.666,0.882,7,-6.085,0,0.0377,0.000198,0.00597,0.135,0.842,120.045,201233,4
0.636,0.797,8,-4.644,1,0.0296,0.00598,4.26e-06,0.114,0.965,139.963,187693,4
0.537,0.631,0,-6.558,1,0.0263,0.0453,0.003,0.325,0.491,91.007,158867,4
0.56,0.699,4,-8.501,1,0.0327,0.00483,0.0,0.223,0.512,122.942,180872,4
0.407,0.741,2,-4.104,1,0.0345,0.00175,0.0,0.135,0.232,145.781,229787,4
0.441,0.931,8,-5.038,1,0.0686,0.000147,1.42e-06,0.0542,0.739,172.151,175768,4
0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246,4
0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4
0.538,0.661,7,-5.302,1,0.0321,0.398,0.0,0.243,0.419,159.617,173867,4
0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,179587,4
0.513,0.687,2,-6.63,1,0.0611,0.47,0.0,0.293,0.409,160.052,221671,4
0.539,0.833,9,-3.8,1,0.0352,0.0759,8.85e-05,0.207,0.434,140.008,194732,4
0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,159636,4
0.487,0.899,0,-4.398,1,0.0326,8.69e-05,0.000293,0.287,0.437,104.039,300488,4
0.58,0.828,7,-4.713,1,0.0305,0.00144,0.00927,0.0983,0.359,101.984,176483,4
0.511,0.861,10,-5.677,1,0.0659,0.0656,1.86e-06,0.0939,0.366,98.021,221451,4
0.77,0.736,8,-4.98,0,0.0569,0.0621,0.00843,0.109,0.577,112.018,201533,4
0.431,0.703,1,-4.925,1,0.0872,7.78e-05,0.000834,0.0839,0.31,179.909,153747,4
0.578,0.509,2,-6.229,1,0.0279,0.13,0.734,0.344,0.586,119.945,74379,4
0.64,0.822,7,-6.445,1,0.0497,0.0112,8.69e-05,0.354,0.593,98.016,193425,4
0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002,157486,4
0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4
0.575,0.889,9,-4.444,1,0.0429,0.00365,0.000929,0.0831,0.549,142.076,310300,4
0.292,0.917,11,-3.086,0,0.146,0.0546,0.158,0.355,0.491,83.129,221638,4
0.591,0.889,4,-6.187,1,0.059,0.000353,0.0246,0.455,0.293,135.974,184842,4
0.278,0.68,8,-5.289,0,0.0601,0.00675,0.0,0.258,0.252,185.418,176901,3
0.313,0.791,0,-2.188,1,0.0335,0.0131,0.000658,0.122,0.412,76.49,242838,4
0.643,0.826,9,-4.381,1,0.0757,0.0136,4.38e-06,0.0905,0.961,169.954,180210,4
0.53,0.609,5,-5.977,0,0.0625,0.233,7.75e-06,0.108,0.378,161.973,183473,4
0.782,0.652,7,-6.787,1,0.0376,0.244,0.0364,0.21,0.927,111.021,160000,4
0.501,0.887,2,-4.069,1,0.0427,0.000108,1.52e-05,0.284,0.624,82.527,207670,4
0.576,0.553,8,-7.878,1,0.032,0.701,0.761,0.121,0.297,130.023,232733,4
