name,artist
So Hï,KREAM
Killa,Chris Avantgarde
"PATT (Party All The Time) - Adam Beyer, Layton Giordani & Green Velvet Remix",Sharam
Not Even Love,Seven Lions
SEE YOU DROP,Ray Volpe
SAFE WITH ME (SECRETOS),Jhay Rivas
Time - Edit,Carlita
Halo,Eli & Fur
ZOOM,Machinedrum
Mr. Sandman,Oppidan
iluv,Effy
Can't Let Go,Logic1000
Cheerleader,Porter Robinson
"Good Luck, Babe!",Chappell Roan
rises the moon,Liana Flores
Bags,Clairo
Espresso,Sabrina Carpenter
Here With Me,d4vd
unless you leave,Chase Elliott
Glue Song,beabadoobee
Valentine,Laufey
Falling for U,Peachy!
7 Weeks & 3 Days,yungatita
Where'd All the Time Go?,Dr. Dog
In My Mind,Lyn Lapid
Good Looking,Suki Waterhouse
Babydoll,Dominic Fike
Melting,Kali Uchis
Lavender Haze - Acoustic Version,Taylor Swift
SLOW DANCING IN THE DARK,Joji
Like the Movies,Laufey
deja vu,Olivia Rodrigo
Home To Another One,Madison Beer
For the First Time,Mac DeMarco
high life,url
we fell in love in october,girl in red
First Of The Year,Cuco
Always Forever,Cults
ME TENGO QUE IR,KAROL G
Cherry Wine,grentperez
Telephones,Vacations
Pop Star,Coco & Clair Clair
I Hope To Be Around - Live,SweedyQ
Some,Steve Lacy
Illusion,Dua Lipa
Best Friend,Laufey
"Sunflower, Vol. 6",Harry Styles
Special,SZA
Flaming Hot Cheetos,Clairo
Crush Culture,Conan Gray
I Wish you Roses,Kali Uchis
Not Allowed,TV Girl
Time Machine,WILLOW
C U Girl,Steve Lacy
Best Friend,Rex Orange County
Mrs Magic,Strawberry Guy
Pretty Girl,Clairo
EVERYTHING,The Black Skirts
Apocalypse,Cigarettes After Sex
From the Subway Train,Vansire
Meet Me At Our Spot,THE ANXIETY
Looking Out for You,Joy Again
I Think I Like When It Rains,WILLIS
Comfort Crowd,Conan Gray
Bubble Gum,Clairo
Loving Is Easy,Rex Orange County
Crushcrushcrush,Coco & Clair Clair
Heart To Heart,Mac DeMarco
More Than Friends,Aidan Bissett
Boys Will Be Bugs,Cavetown
at least i'm pretty,Harriette
Wait a Minute!,WILLOW
Hush - Still Woozy Remix,The Marías
Hello?,Clairo
Pretty,Coco & Clair Clair
Sunflower,Rex Orange County
summer depression,girl in red
Morning Sex,Ralph Castelli
Juliet,Cavetown
my future,Billie Eilish
Romantic Lover,Eyedress
N Side,Steve Lacy
Crush,Tessa Violet
Space Song,Beach House
Loverboy,A-Wall
Just for Me,PinkPantheress
Old Love,yuji
watch you sleep.,girl in red
Lucy Takes a Picture,Youth Lagoon
Turn Me Inside - Zero 7 Remix,Vegyn
Foolish Thinking,Kimbra
How to Disappear Completely,Radiohead
Spring Is Coming With A Strawberry In The Mouth,Caroline Polachek
Always Forever,Cults
Skin Tight (Alternate) [feat. Steve Lacy],Ravyn Lenae
Beautiful Ordinary,Jane Penny
Bound,Wet
Weird Fishes/ Arpeggi,Radiohead
Just for Now,Imogen Heap
QKThr,Aphex Twin
Kerosene!,Yves Tumor
Ribs,Lorde
Bloom For Me,Pearly Drops
See you Soon,beabadoobee
6 Underground,Sneaker Pimps
ghost,mary in the junkyard
NO SZNS,Jean Dawson
"ANNIE, PICK A FLOWER.. (MY HOUSE)",Saya Gray
Quien Tengo Que Ser,Andrea Bejar
In A Good Way,Faye Webster
Sunset,Caroline Polachek
Heaven,Mitski
Nude,Radiohead
Apocalypse,Cigarettes After Sex
Strawberry Privilege,Yves Tumor
Letter To An Old Poet,boygenius
Afterglow,Luna Li
The Dress,Dijon
Paprika,Japanese Breakfast
yellow is the color of her eyes,Soccer Mommy
Godspeed,Frank Ocean
Starburned and Unkissed,Caroline Polachek
Loved,Four Tet
sulky baby,yeule
Spitting Off the Edge of the World,Yeah Yeah Yeahs
Jason,Perfume Genius
Summer Glass,Julie Byrne
Do I Make You Nervous,Dreamer Isioma
Superpowers,Daniel Caesar
Floating On A Moment,Beth Gibbons
Pool,Samia
Genesis,Grimes
Evening Mood,Julia Holter
Lejos de Ti,The Marías
Nothing's Free,Angel Olsen
Bruises Off The Peach,Ryan Beatty
Polly,Moses Sumney
Never Be Like You (feat. Kai),Flume
The First Taste,Fiona Apple
Guilty Conscience,070 Shake
Playground Love,Air
Butterfly Net (feat. Weyes Blood),Caroline Polachek
Red Lights,SAULT
I'm God,Clams Casino
I Just Wanna Feel Your Love Again,Montell Fish
Lullaby,Grace Ives
Fly To You (feat. Grimes and Dido),Caroline Polachek
Multiply,Dora Jar
Serenade of Water,Men I Trust
Call U Tomorrow,Montell Fish
Famous Last Words (An Ode to Eaters),1017 ALYX 9SM
Let Go,Frou Frou
God Turn Me Into a Flower,Weyes Blood
Hold It Together,The Marías
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza
Evergreen,Ryan Beatty
I'm Not In Love,Kelsey Lu
Twin Flame,Weyes Blood
Clementine,Wet
Insomnia,Superfan
Crushing,Eartheater
Power Freaks,Jean Dawson
I Been Young,George Clanton
Tip Toe,HYBS
A Night To Remember,beabadoobee
Tadow,Masego
Beanie,Chezile
Hell N Back (feat. Summer Walker),Bakar
"hold me, never let go",Rocco
Daydream,Valeria Stoica
Conversar,mokina
un día,Lara91k
u should be here,Tamir
Calma Cara,Selton
lo único que quería este verano,BLAIR
Now Or Never,Fyeqoodgurl
Dancing with my phone,HYBS
Hex,Belau
Sensaciones,Mundo Prestigio
Sunny When I'm With You,Ysanygo
Run Your Mouth,The Marías
Starlight,Leon of Athens
Matcha Queen,Yoa
l-o-v-e,Rocco
broken vase,Dizzyboy
Old With You,grentperez
Girls Night,Dot.
Eyes on my baby,BETWEEN FRIENDS
Feel It - From The Original Series “Invincible”,d4vd
A Tu Modo,LoLo
Average Guy (Blame),TV Girl
STRINGS (feat. JVKE & Bazzi),MAX
Sleep Well,d4vd
What (I Wish) He Said,mindfreakkk
Clair-obscur,En Stéréo
Me Da Igual,L'Impératrice
Pura geografia,Maria Jaume
I'll Be Mine,flu
When We Were Younger (feat. Cavetown),grentperez
Daydream,KIKI
Movie Light,Satoko Shibata
Murder on the Dance Floor - triple j Like A Version,Royel Otis
every day is a game,Night Tapes
animal planet,South Penguin
Be More,Stephen Sanchez
Separate Ways (feat. The Marías),Eyedress
Primer encuentro,Paz Carrara
Boyfriend,Hot Freaks
Pretense,DURDN
Fana,Bank
Take Your Time,Daveny
Fragile,kikomori
favourite jeans,moon tang
illa,La Máquina Camaleón
carameloraro,vangoura
Wishing Well,The Walters
Cold Rain,Raine Cloud
Palabras BLA BLA BLA,PANTERA BLUE
Screw Time,Claire Rosinkranz
Jupiter I.,Saya Noé
The Thrill Of It,Pixey
BLOW,ROTH BART BARON
afterglow,Numcha
Tache d'encre,Valse Fréquence
So Bad,St. Panther
Ahuécate,Edu Requejo
TU M0VIMIENT0,moanday
Pinstripe,pijama land
Querernos De Nuevo,Sebastián Cortés
Dramatic,Amen Sioux
Meninas,Ão
Cherry Cola,TTRRUUCES
Swinging at the Stars,Claire Rosinkranz
Historia de Amor,Inzul
Dose Sustentável,Hércules
Fotomatón,Cosmic Wacho
Cuadriculado,Javypablo
Robot mayordomo,Joan Miquel Oliver
détours,Ivytide
Just A Game feat. Benny Sings,Nulbarich
everything about her,Amie Blu
sole outlet,juno roome
Botecito,Cosmic Wacho
relevante,Vic Mirallas
Mrs. Valentine,Eyedress
Satellite,HYBS
Doesn’t Do Me Any Good,Stephen Sanchez
Falling,WNRDA
What's up,BETWEEN FRIENDS
Complicado,Habla de Mí en Presente
Tragic Love,H I N A N O
elle danse toute seule dans sa chambre - Bonus Track,nelick
bittersweet heartbreak,Karin Ann
Halloween Costume,Sarah Klang
Balloon - Sunset Rollercoaster Remake,ADOY
Afterglow,Leon of Athens
De tu panal,Caro Raro
Fifth,Precious Pepala
Un Llavero,Ganges
Burning,Tems
Next 2 U,Kehlani
Nasty,Tinashe
MILLION DOLLAR BABY,Tommy Richman
Candy Paint,Normani
Ciao!,Bryson Tiller
Witchy (feat. Childish Gambino),KAYTRANADA
N o C h i l l,PARTYNEXTDOOR
Please Don't Fall In Love With Me,Khalid
Soft,Lucky Daye
Love Me JeJe,Tems
Control,Ayra Starr
Make Me Forget,Muni Long
Songs About U,Tink
He Loves Us Both (feat. H.E.R.),Lila Iké
Jump,Tyla
After Hours,Kehlani
Alright,Victoria Monét
1:59 (feat. Gunna),Normani
Snooze,SZA
Here We Go (Uh Oh),Coco Jones
Last Heartbreak Song (feat. Giveon),Ayra Starr
Attention,Bryson Tiller
act iv: fckin u (18+),4batz
Caught Up,FLO
